timestamp,stop_sequence,current_stop_name,next_stop_name,day_of_week,is_holiday,is_peak_hour,weather_condition,passenger_count,current_speed,distance_to_next_stop,current_lat,current_lon,eta_minutes
2024-01-01 06:00:00,1,4,1,0,False,False,0,0.15220663092038875,-0.8250698707388215,0.09257306514850712,3.044544,101.794874,0.20584539867366838
2024-01-01 06:05:00,2,1,2,0,False,False,1,-0.5459157261343897,-0.8639163702016258,-1.2524313199577968,3.047666,101.79665,-0.5621198254483598
2024-01-01 06:10:00,3,2,0,0,False,False,1,-1.4435016137762477,0.6176087472418726,0.8099087372052021,3.045477,101.798123,-0.5621198254483598
2024-01-01 06:17:00,4,0,3,0,False,False,2,-0.3464521955473101,0.9417760875866529,-0.9834304429365358,3.042788,101.798283,-0.5621198254483598
2024-01-01 06:23:00,5,3,4,0,False,False,2,-0.5459157261343897,-1.1217767545667916,1.347910491247724,3.042749,101.796945,0.9738106227956966
2024-01-01 06:30:00,1,4,1,0,False,False,1,-0.7453792567214692,-0.847172189398693,0.09257306514850712,3.044943,101.795059,0.20584539867366838
2024-01-01 06:36:00,2,1,2,0,False,False,0,-0.24672043025377036,0.9920086299954514,-1.2524313199577968,3.047779,101.79709,-0.5621198254483598
2024-01-01 06:42:00,3,2,0,0,False,False,3,-1.0445745526020886,-0.6716931745839567,0.8099087372052021,3.044022,101.798003,0.20584539867366838
2024-01-01 06:47:00,4,0,3,0,False,False,0,-0.24672043025377036,1.1909294979342935,-0.9834304429365358,3.043523,101.798081,-0.5621198254483598
2024-01-01 06:54:00,5,3,4,0,False,False,0,-0.845111022015009,0.601534333671057,1.347910491247724,3.042327,101.79751,-0.5621198254483598
2024-01-01 07:01:00,1,4,1,0,False,True,4,1.4487195797364059,-1.462018508482387,0.09257306514850712,3.04473,101.79496,1.741775846917725
2024-01-01 07:08:00,2,1,2,0,False,True,4,0.2519383962139285,-1.2409953218836736,-1.2524313199577968,3.047924,101.797655,0.20584539867366838
2024-01-01 07:13:00,3,2,0,0,False,True,3,-0.9448427873085488,-1.6086975323160788,0.8099087372052021,3.044873,101.798073,4.813636743405837
2024-01-01 07:19:00,4,0,3,0,False,True,0,1.348987814442866,-0.6589675971737277,-0.9834304429365358,3.043379,101.798121,-0.5621198254483598
2024-01-01 07:26:00,5,3,4,0,False,True,0,1.2492560491493263,-0.5437676332495497,1.347910491247724,3.042067,101.797858,0.20584539867366838
2024-01-01 07:31:00,1,4,1,0,False,True,0,2.9446960591395026,-0.5283629869108515,0.09257306514850712,3.047157,101.796084,0.20584539867366838
2024-01-01 07:37:00,2,1,2,0,False,True,4,0.45140192680100805,-1.3642324925932592,-1.2524313199577968,3.047913,101.797611,0.20584539867366838
2024-01-01 07:42:00,3,2,0,0,False,True,4,1.0497925185622468,-1.696437039723447,0.8099087372052021,3.046329,101.798193,5.581601967527866
